"","q1AgeBeginCoding","q2Age","q3Gender","q4Education","q5DegreeFocus","q8JobLevel","q9CurrentRole","q10Industry","q16HiringManager","q24VimorEmacs"
"7829","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Senior developer","Full-stack Developer","Automotive & Transportation","Yes","Vim"
"7830","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Back-end Developer","Technology","No","Vim"
"7831","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"7832","21 - 25 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Software Engineer","Retail","Yes","Emacs"
"7833","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Software Engineer","Technology","No","Vim"
"7834","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Back-end Developer","Insurance","No","Vim"
"7835","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Architect","Back-end Developer","Technology","Yes","Vim"
"7836","16 - 20 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Full-stack Developer","Financial Services","Yes","Vim"
"7837","16 - 20 years old","18 - 24 years old","Male","High school graduate","Computer Science","Student","Student","Technology","No","Vim"
"7838","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Full-stack Developer","Technology","No","Vim"
"7839","21 - 25 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Principal engineer","Full-stack Developer","Technology","Yes","Vim"
"7840","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Web Developer","Technology","No","Vim"
"7841","16 - 20 years old","18 - 24 years old","Male","High school graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Health Care","No","Vim"
"7842","11 - 15 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Software Engineer","Technology","No","Vim"
"7843","11 - 15 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Technology","No","Vim"
"7844","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Student","Student","Computer Hardware","No","Emacs"
"7845","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"7846","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Web Developer","Education","No","Vim"
"7847","21 - 25 years old","25 - 34 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Front-end Developer","Technology","Yes","Vim"
"7848","16 - 20 years old","18 - 24 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Technology","No","Vim"
"7849","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Education","No","Vim"
"7850","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Founder / CEO / CTO","Web Developer","Technology","No","Vim"
"7851","16 - 20 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Student","Web Developer","Education","No","Vim"
"7852","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Freelancer","Full-stack Developer","Technology","No","Vim"
"7853","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","New grad","Full-stack Developer","Technology","No","Emacs"
"7854","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Full-stack Developer","Technology","Yes","Vim"
"7855","16 - 20 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Automotive & Transportation","No","Vim"
"7856","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Front-end Developer","Education","No","Vim"
"7857","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"7858","16 - 20 years old","18 - 24 years old","Male","High school graduate","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Vim"
"7859","5 - 10 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Data Scientist","Technology","No","Vim"
"7860","16 - 20 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Senior developer","Software Engineer","Technology","No","Vim"
"7861","21 - 25 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Back-end Developer","Technology","No","Vim"
"7862","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Technology","No","Vim"
"7863","16 - 20 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Senior developer","Software Engineer","Technology","Yes","Vim"
"7864","21 - 25 years old","18 - 24 years old","Male","Some college","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Emacs"
"7865","21 - 25 years old","35 - 44 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Technology","No","Vim"
"7866","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Software Engineer","Education","No","Vim"
"7867","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Student","Student","Education","No","Emacs"
"7868","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Technology","No","Vim"
"7869","11 - 15 years old","18 - 24 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Financial Services","No","Emacs"
"7870","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Education","No","Vim"
"7871","11 - 15 years old","12 - 18 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"7872","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Computer Hardware","No","Vim"
"7873","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Engineering manager","Web Developer","Government","Yes","Vim"
"7874","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Mobile Developer","Technology","Yes","Vim"
"7875","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Mobile Developer","Technology","No","Emacs"
"7876","16 - 20 years old","18 - 24 years old","Male","High school graduate","Computer Science","Student","Student","Technology","No","Emacs"
"7877","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Computer Hardware","No","Vim"
"7878","16 - 20 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Student","Student","Education","No","Emacs"
"7879","16 - 20 years old","12 - 18 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Education","No","Vim"
"7880","16 - 20 years old","35 - 44 years old","Female","College graduate","Computer Science","Principal engineer","Software Test Engineer","Technology","Yes","Vim"
"7881","11 - 15 years old","12 - 18 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Student","Unemployed","Education","No","Vim"
"7882","11 - 15 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Education","No","Vim"
"7883","21 - 25 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Web Developer","Computer Hardware","No","Vim"
"7884","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Network Administrator","Technology","No","Vim"
"7885","16 - 20 years old","12 - 18 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Student","Student","Government","No","Emacs"
"7886","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"7887","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Vim"
"7888","11 - 15 years old","12 - 18 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Technology","No","Vim"
"7889","16 - 20 years old","12 - 18 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"7890","21 - 25 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Student","Data Analyst","Technology","No","Vim"
"7891","5 - 10 years old","18 - 24 years old","Male","College graduate","Computer Science","Senior developer","Mobile Developer","Technology","Yes","Vim"
"7892","21 - 25 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Automotive & Transportation","Yes","Vim"
"7893","21 - 25 years old","25 - 34 years old","Female","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Test Engineer","Technology","No","Vim"
"7894","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Data Scientist","Technology","No","Vim"
"7895","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Education","No","Vim"
"7896","16 - 20 years old","12 - 18 years old","Male","College graduate","Computer Science","Founder / CEO / CTO","Software Engineer","Government","Yes","Vim"
"7897","16 - 20 years old","18 - 24 years old","Male","High school graduate","Computer Science","Student","Student","Technology","No","Vim"
"7898","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Technology","No","Vim"
"7899","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Full-stack Developer","Technology","Yes","Vim"
"7900","16 - 20 years old","18 - 24 years old","Male","High school graduate","Computer Science","Student","Student","Education","No","Vim"
"7901","21 - 25 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Architect","Network Administrator","Technology","Yes","Vim"
"7902","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","New grad","Data Analyst","Retail","No","Vim"
"7903","16 - 20 years old","12 - 18 years old","Male","High school graduate","Computer Science","Student","Student","Media","No","Emacs"
"7904","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Education","No","Vim"
"7905","11 - 15 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Software Specialist","Technology","Yes","Vim"
"7906","11 - 15 years old","12 - 18 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Education","No","Emacs"
"7907","11 - 15 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Full-stack Developer","Technology","Yes","Vim"
"7908","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Principal engineer","Full-stack Developer","Automotive & Transportation","Yes","Emacs"
"7909","11 - 15 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Back-end Developer","Security","No","Vim"
"7910","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Education","No","Emacs"
"7911","11 - 15 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Front-end Developer","Technology","Yes","Vim"
"7912","21 - 25 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Test Engineer","Education","Yes","Vim"
"7913","16 - 20 years old","18 - 24 years old","Female","Some college","Computer Science","Student","Student","Education","No","Vim"
"7914","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"7915","21 - 25 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Front-end Developer","Health Care","No","Vim"
"7916","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Front-end Developer","Technology","Yes","Emacs"
"7917","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"7918","21 - 25 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Level 1 developer (junior)","Back-end Developer","Non-Profit","No","Vim"
"7919","16 - 20 years old","18 - 24 years old","Female","Some post graduate work (Masters, PhD)","Computer Science","Student","Student","Technology","No","Emacs"
"7920","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Technology","No","Vim"
"7921","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Founder / CEO / CTO","Full-stack Developer","Technology","Yes","Vim"
"7922","16 - 20 years old","12 - 18 years old","Female","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Vim"
"7923","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Full-stack Developer","Financial Services","No","Vim"
"7924","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"7925","16 - 20 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Development Operations Engineer","Technology","No","Vim"
"7926","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"7927","21 - 25 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Data Scientist","Technology","Yes","Vim"
"7928","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"7929","16 - 20 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Front-end Developer","Media","Yes","Vim"
"7930","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Web Developer","Technology","No","Vim"
"7931","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Level 1 developer (junior)","Back-end Developer","Financial Services","No","Vim"
"7932","16 - 20 years old","18 - 24 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Technology","No","Vim"
"7933","21 - 25 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Principal engineer","Software Architect","Financial Services","Yes","Vim"
"7934","5 - 10 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Back-end Developer","Telecom, Internet Services","No","Emacs"
"7935","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Software Engineer","Automotive & Transportation","Yes","Emacs"
"7936","21 - 25 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Full-stack Developer","Technology","No","Emacs"
"7937","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Technology","Yes","Vim"
"7938","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Mobile Developer","Technology","Yes","Vim"
"7939","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Level 1 developer (junior)","Back-end Developer","Technology","No","Vim"
"7940","16 - 20 years old","18 - 24 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Education","No","Vim"
"7941","16 - 20 years old","18 - 24 years old","Male","High school graduate","Computer Science","Student","Student","Education","No","Emacs"
"7942","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Vim"
"7943","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Senior developer","Back-end Developer","Technology","Yes","Emacs"
"7944","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Web Developer","Technology","No","Vim"
"7945","11 - 15 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Back-end Developer","Technology","No","Vim"
"7946","11 - 15 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Emacs"
"7947","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Student","Education","No","Vim"
"7948","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Emacs"
"7949","16 - 20 years old","25 - 34 years old","Female","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Emacs"
"7950","11 - 15 years old","18 - 24 years old","Female","High school graduate","Computer Science","Student","Full-stack Developer","Education","No","Vim"
"7951","11 - 15 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Student","Student","Technology","No","Vim"
"7952","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Software Engineer","Financial Services","No","Emacs"
"7953","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Student","Technology","No","Vim"
"7954","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Education","No","Vim"
"7955","21 - 25 years old","25 - 34 years old","Male","College graduate","Computer Science","New grad","Web Developer","Technology","No","Vim"
"7956","11 - 15 years old","12 - 18 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Emacs"
"7957","16 - 20 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Financial Services","Yes","Emacs"
"7958","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Full-stack Developer","Financial Services","Yes","Vim"
"7959","21 - 25 years old","18 - 24 years old","Female","College graduate","Computer Science","New grad","Front-end Developer","Technology","Yes","Vim"
"7960","11 - 15 years old","12 - 18 years old","Male","High school graduate","Computer Science","Student","Student","Education","No","Emacs"
"7961","21 - 25 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Back-end Developer","Financial Services","No","Emacs"
"7962","16 - 20 years old","18 - 24 years old","Male","High school graduate","Computer Science","Student","Back-end Developer","Computer Hardware","No","Vim"
"7963","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Back-end Developer","Education","No","Vim"
"7964","11 - 15 years old","12 - 18 years old","Male","Some high school","Computer Science","Student","Student","Technology","No","Vim"
"7965","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Development Operations Engineer","Technology","No","Vim"
"7966","21 - 25 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Computer Hardware","No","Emacs"
"7967","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Full-stack Developer","Technology","No","Emacs"
"7968","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Technology","No","Emacs"
"7969","16 - 20 years old","18 - 24 years old","Male","High school graduate","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Emacs"
"7970","21 - 25 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Data Analyst","Technology","No","Emacs"
"7971","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Software Engineer","Financial Services","Yes","Vim"
"7972","11 - 15 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Vim"
"7973","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Education","No","Vim"
"7974","11 - 15 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Technology","No","Vim"
"7975","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Principal engineer","Full-stack Developer","Financial Services","Yes","Vim"
"7976","16 - 20 years old","18 - 24 years old","Male","High school graduate","Computer Science","Student","Student","Education","No","Emacs"
"7977","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Technology","No","Emacs"
"7978","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Student","Non-Profit","No","Vim"
"7979","21 - 25 years old","35 - 44 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Principal engineer","Full-stack Developer","Automotive & Transportation","Yes","Vim"
"7980","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Education","No","Vim"
"7981","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Student","Student","Education","No","Emacs"
"7982","21 - 25 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Web Developer","Technology","Yes","Emacs"
"7983","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Full-stack Developer","Technology","No","Emacs"
"7984","16 - 20 years old","18 - 24 years old","Female","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Vim"
"7985","16 - 20 years old","12 - 18 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Founder / CEO / CTO","Software Engineer","Computer Hardware","No","Vim"
"7986","21 - 25 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Web Developer","Retail","No","Vim"
"7987","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Senior developer","Software Engineer","Financial Services","No","Vim"
"7988","16 - 20 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Back-end Developer","Technology","Yes","Vim"
"7989","21 - 25 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Back-end Developer","Financial Services","Yes","Vim"
"7990","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Student","Technology","No","Emacs"
"7991","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Education","No","Vim"
"7992","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"7993","21 - 25 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Full-stack Developer","Technology","Yes","Emacs"
"7994","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Web Developer","Technology","No","Emacs"
"7995","11 - 15 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Software Engineer","Technology","No","Vim"
"7996","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Back-end Developer","Media","Yes","Vim"
"7997","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Education","No","Emacs"
"7998","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"7999","21 - 25 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Principal engineer","Back-end Developer","Technology","Yes","Vim"
"8000","21 - 25 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Student","Student","Technology","No","Vim"
"8001","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Student","Education","No","Vim"
"8002","16 - 20 years old","18 - 24 years old","Male","High school graduate","Computer Science","Student","Student","Education","No","Vim"
"8003","21 - 25 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Web Developer","Technology","Yes","Vim"
"8004","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Software Engineer","Technology","No","Emacs"
"8005","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Student","Back-end Developer","Government","No","Vim"
"8006","16 - 20 years old","18 - 24 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Education","No","Vim"
"8007","16 - 20 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Software Test Engineer","Automotive & Transportation","Yes","Vim"
"8008","21 - 25 years old","25 - 34 years old","Male","College graduate","Computer Science","Architect","Software Architect","Technology","Yes","Vim"
"8009","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Financial Services","No","Vim"
"8010","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Full-stack Developer","Retail","Yes","Vim"
"8011","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Full-stack Developer","Financial Services","Yes","Vim"
"8012","21 - 25 years old","12 - 18 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Technology","Yes","Emacs"
"8013","16 - 20 years old","18 - 24 years old","Male","High school graduate","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Vim"
"8014","16 - 20 years old","18 - 24 years old","Female","Some post graduate work (Masters, PhD)","Computer Science","Level 1 developer (junior)","Front-end Developer","Technology","Yes","Vim"
"8015","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Student","Student","Education","No","Vim"
"8016","21 - 25 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Software Engineer","Aerospace & Defense","No","Emacs"
"8017","21 - 25 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Software Test Engineer","Technology","Yes","Vim"
"8018","16 - 20 years old","18 - 24 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Education","No","Vim"
"8019","16 - 20 years old","18 - 24 years old","Male","High school graduate","Computer Science","Student","Student","Technology","No","Vim"
"8020","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Student","Student","Education","No","Vim"
"8021","16 - 20 years old","18 - 24 years old","Male","High school graduate","Computer Science","Student","Student","Technology","No","Emacs"
"8022","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Student","Software Engineer","Education","No","Vim"
"8023","16 - 20 years old","35 - 44 years old","Female","College graduate","Computer Science","Principal engineer","Software Architect","Technology","Yes","Vim"
"8024","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Technology","No","Emacs"
"8025","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Technology","Yes","Vim"
"8026","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Education","No","Vim"
"8027","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Vim"
"8028","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Computer Hardware","No","Vim"
"8029","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"8030","16 - 20 years old","18 - 24 years old","Male","High school graduate","Computer Science","Student","Student","Education","No","Vim"
"8031","16 - 20 years old","35 - 44 years old","Male","High school graduate","Computer Science","Architect","Software Architect","Technology","Yes","Vim"
"8032","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Security","Yes","Vim"
"8033","21 - 25 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Web Developer","Technology","Yes","Emacs"
"8034","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Back-end Developer","Media","Yes","Vim"
"8035","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Web Developer","Education","No","Vim"
"8036","16 - 20 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Student","Student","Security","No","Vim"
"8037","16 - 20 years old","25 - 34 years old","Female","College graduate","Computer Science","Director / VP of Engineering","Full-stack Developer","Financial Services","Yes","Vim"
"8038","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Financial Services","No","Vim"
"8039","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Full-stack Developer","Technology","Yes","Vim"
"8040","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Senior developer","Full-stack Developer","Technology","Yes","Vim"
"8041","11 - 15 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Software Engineer","Computer Hardware","Yes","Vim"
